	Polyp.02	Polyp.03	Polyp.05	Polyp.08.WGS	Polyp.09	Ha.22	Ha.12	Ha.6	Ha.4
ELF3	0	1	0	0	0	0	0	0	0
ELMSAN1	0	0	0	0	0	0	0	0	0
EMR1	0	0	0	0	0	0	0	0	0
ENOX1	0	0	0	1	0	0	0	0	0
EPC2	0	0	0	0	0	0	0	0	0
ERBB2	0	0	1	0	0	0	0	0	0
ERBB3	0	0	0	0	0	0	0	0	0
ERMN	0	0	0	0	0	0	0	0	0
ESCO1	0	0	0	0	0	0	0	0	0
ESRRG	0	0	0	0	0	0	0	0	0
EVC2	1	0	0	0	0	0	0	0	0
FAIM3	0	0	0	0	0	0	0	0	0
FAM110B	0	0	0	0	0	0	0	1	0
FAM124A	0	0	0	0	0	0	0	0	1
FAM161A	0	0	0	0	0	0	0	0	0
FAM208A	0	0	0	0	0	0	0	0	0
FAM47E-STBD1	0	0	0	0	1	0	0	0	0
FAT3	0	0	0	0	0	1	0	0	0
FAT4	0	0	0	0	0	0	0	0	0
FBXO7	0	0	0	0	0	0	0	0	0
FBXW7	0	0	1	0	0	0	0	0	0
FER1L6	0	0	1	0	0	0	0	0	0
FGF14	0	0	0	0	0	0	0	0	0
FGF8	0	0	0	0	0	0	0	1	0
FHDC1	0	0	0	0	0	0	0	0	0
FLRT2	1	0	0	0	0	0	0	0	0
FLT1	0	0	0	0	1	0	0	0	0
FMO4	0	1	0	0	0	0	0	0	0
FNDC1	0	0	1	0	0	0	0	0	0
FRY	0	0	0	0	0	0	0	0	0
FTSJ3	0	0	0	0	0	0	0	0	0
GAPDH	0	0	0	0	0	0	0	0	0
GATAD2A	0	0	0	0	0	0	0	0	0
GCM2	0	0	0	0	1	0	0	0	0
GFPT2	0	0	0	0	0	0	0	1	0
GGT5	0	0	0	0	0	0	0	0	0
GMPPA	0	0	0	0	0	0	0	0	0
GNAT3	0	0	0	0	0	0	1	0	0
GNB4	0	0	0	0	1	0	0	0	0
GOLGB1	0	0	0	0	0	0	0	1	0
GP6	0	0	0	0	0	1	0	0	0
GPATCH2	0	0	0	0	0	0	0	0	0
GPNMB	0	0	0	0	0	0	0	0	0
GPR12	0	0	0	0	0	0	0	0	0
GPR132	0	0	0	0	0	0	0	0	0
GPR133	0	0	0	0	0	0	0	0	0
GPR149	0	0	0	1	0	0	0	0	0
GREB1L	0	0	0	0	0	0	0	0	0
GRM3	0	0	0	0	1	0	0	0	0
GTF2B	0	0	0	0	0	0	0	0	0
GTF2E2	0	0	0	0	0	0	0	0	0
GTF2F1	0	0	1	0	0	0	0	0	0
GXYLT1	0	0	0	0	0	0	1	0	0
GZMH	0	0	0	0	0	0	0	0	0
HADHA	0	0	0	0	0	0	0	0	0
HAPLN3	0	0	0	0	0	0	0	0	0
HCN4	0	0	0	0	0	0	0	1	0
HEATR6	0	0	0	0	0	0	0	0	0
HERC1	0	0	0	0	0	0	0	0	0
HFE	0	0	0	1	0	0	0	0	0
HHIPL1	0	0	0	0	0	0	0	0	0
HIPK3	0	0	0	1	0	0	0	0	0
HLA-DPB1	0	0	0	0	0	0	0	0	0
HLA-DRB1	0	0	1	0	0	0	0	0	0
HMGN4	0	0	0	0	0	0	0	0	0
HOGA1	0	0	0	1	0	0	0	0	0
HOXC11	0	0	0	0	0	0	0	0	0
HOXD8	0	0	0	0	0	0	0	0	0
HPS1	0	0	0	1	0	0	0	0	0
HSPH1	0	0	0	0	0	0	0	1	0
IFIT3	0	0	0	0	0	0	0	0	0
IFITM3	0	0	0	1	0	0	0	0	0
IFNA7	0	0	1	0	0	0	0	0	0
IGDCC4	0	0	0	0	0	0	1	0	0
IL12RB1	0	0	1	0	0	0	0	0	0
IL23R	0	0	0	0	0	0	0	0	0
IL6R	0	0	0	0	0	0	0	0	0
INPP5B	0	0	0	0	0	0	0	0	0
INPP5K	0	0	0	0	0	0	0	0	0
INSRR	0	0	1	0	0	0	0	0	0
IQCF1	1	0	0	0	0	0	0	0	0
IRGC	0	0	0	0	0	0	0	1	0
ITFG2	0	0	0	0	0	0	0	0	0
ITGA8	0	0	0	0	0	0	0	0	0
ITGAE	0	0	0	0	0	0	0	0	0
ITGAX	1	0	0	0	0	0	0	0	0
ITIH2	0	0	0	0	0	0	0	1	0
ITPA	0	0	0	0	1	0	0	0	0
IWS1	0	0	0	0	0	0	0	0	0
JKAMP	0	1	0	0	0	0	0	0	0
KATNBL1	0	0	0	0	1	0	0	0	0
KCNA3	0	0	0	0	0	0	0	0	0
KCNA5	0	0	0	0	0	0	0	0	0
KCNG4	0	0	0	0	0	0	0	1	0
KCNMA1	0	0	0	0	0	0	0	0	0
KCNS2	0	0	0	0	0	0	0	0	0
KCTD3	0	0	0	0	0	0	0	0	0
KIAA0895	0	0	0	0	0	0	0	0	0
KIAA1033	0	0	0	0	0	0	0	1	0
KIAA1456	0	0	0	0	0	0	0	0	0
KIAA1755	0	0	0	0	0	0	0	0	0
KIAA1804	0	0	1	0	0	0	0	0	0
KIF2B	0	0	0	0	0	0	0	0	0
KIF2C	0	0	0	0	0	0	0	0	0
KIRREL	0	0	0	0	0	1	0	0	0
KIRREL3	0	0	0	0	0	0	0	0	0
KLF15	0	0	0	0	0	0	0	0	1
KMT2C	0	0	0	0	0	0	0	0	0
KMT2D	0	0	0	0	0	0	0	1	0
KRAS	0	0	0	1	0	1	0	1	0
KRT31	1	0	0	0	1	0	0	0	0
KRT37	0	0	0	0	0	0	0	0	0
KRT81	0	0	0	1	0	0	0	0	0
KRTAP10-4	0	0	0	0	0	0	0	0	0
KRTAP19-5	0	0	0	0	0	0	0	0	0
KRTAP5-10	0	0	0	0	0	0	0	0	0
KRTAP5-4	0	0	0	0	0	0	0	0	0
LACRT	0	0	0	1	0	0	0	0	0
LAMA1	0	0	0	1	0	0	0	0	0
LAMA5	0	0	0	0	0	0	0	0	0
LAMB3	0	0	0	0	0	0	0	0	0
LAMC3	0	0	0	0	0	0	0	0	0
LAT	0	0	0	0	0	0	0	0	0
LCN8	0	0	0	0	0	0	0	0	0
LCN9	0	0	0	1	0	0	0	0	0
LGALS16	0	0	0	0	0	0	0	0	0
LGALS4	0	0	0	0	0	0	0	0	0
LHX1	0	0	0	0	0	0	0	1	0
LIG1	0	0	0	0	0	0	0	0	0
LOC93432	0	0	0	0	0	0	0	0	0
LPIN3	0	0	0	0	0	0	0	0	0
LRP2	0	0	0	0	0	0	0	0	0
LRRC27	0	0	0	0	0	0	0	0	0
LRRC4C	0	0	0	0	0	0	0	1	0
LRRC8B	0	0	0	0	0	0	0	0	0
LTBP2	0	0	0	0	0	0	0	0	0
LTK	0	0	0	0	0	0	0	0	1
LUZP1	0	0	0	0	0	0	0	0	0
LY86	0	0	0	0	0	0	0	0	0
LYZL2	0	0	0	0	0	0	0	0	0
MAG	0	0	0	0	0	0	1	0	0
MAML2	0	0	0	0	0	0	0	0	0
MAP1A	0	0	0	0	0	0	0	0	0
MAP2	0	0	0	0	0	0	0	0	0
MAPKBP1	0	0	0	0	0	0	0	0	0
MDN1	0	0	0	0	0	0	0	0	0
MED15	0	0	0	0	0	0	0	0	0
MED16	0	0	0	1	0	0	0	0	0
MEF2C	0	0	0	0	0	0	0	0	0
METTL15	0	0	0	0	0	0	0	0	0
MEX3B	0	0	0	0	0	0	0	0	0
MFAP3L	0	0	0	1	0	0	0	0	0
MFSD4	0	0	0	0	0	0	0	0	0
MMP16	1	0	0	0	0	0	0	0	0
MMP17	0	0	0	0	0	0	0	0	0
MOG	0	0	0	0	1	0	0	0	0
MPP7	0	0	0	0	0	0	0	0	0
MR1	0	0	0	0	0	0	0	0	0
MRAP	0	0	0	1	0	0	0	0	0
MTIF2	0	0	0	1	0	0	0	0	0
MUC16	0	0	0	0	0	0	0	0	0
MUC17	0	0	0	0	0	0	0	0	1
MUC5B	0	0	0	0	0	0	0	0	0
MYF6	0	0	0	1	0	0	0	0	1
MYH1	0	0	0	1	0	0	0	0	0
MYL7	0	0	0	0	0	0	0	0	0
MYO15A	0	0	0	0	0	0	0	0	0
MYO18B	0	0	1	0	0	0	0	0	0
MYO7A	0	0	0	0	0	0	0	0	0
MYOM2	0	0	0	0	0	0	0	0	0
NAV3	0	0	0	1	0	0	0	0	0
NBAS	0	0	0	1	0	0	0	0	0
NBR1	0	0	0	0	0	0	0	0	0
NCAM1	0	0	0	0	0	0	0	0	0
NEDD1	0	0	0	0	0	0	0	0	0
NES	0	0	0	0	0	0	0	0	0
NEUROD1	0	0	0	0	0	0	0	0	0
NF1	0	0	0	1	0	0	0	0	0
NLRP1	0	0	0	0	0	0	0	0	0
NLRP14	0	0	0	0	0	0	0	0	0
NLRP5	0	0	0	0	0	0	0	0	0
NME4	0	0	0	0	0	0	0	0	0
NMNAT2	0	0	0	0	0	0	0	1	0
NOL4L	0	0	0	0	0	0	0	0	0
NOS1	0	0	0	0	0	0	0	0	0
NOTCH4	0	0	0	0	0	0	0	0	0
NPC1L1	0	0	0	1	0	0	0	0	0
NPHP1	0	0	0	1	0	0	0	0	0
NPHP4	0	0	0	0	0	0	0	0	0
NPW	0	0	0	0	0	0	1	0	0
NRAS	0	0	0	0	0	0	1	0	0
NRCAM	0	0	0	0	0	0	0	0	0
NRG3	0	0	0	0	0	0	0	0	0
NSMAF	0	0	1	0	0	0	0	0	0
NTN4	0	0	0	1	0	0	0	0	0
NTRK1	0	0	0	0	0	0	0	0	0
NUBP2	0	0	0	1	0	0	0	0	0
NUPL1	0	0	0	0	0	0	0	0	0
OASL	0	0	0	1	0	0	0	0	0
OGFRL1	0	0	0	0	0	0	0	0	0
OPCML	0	0	0	0	0	0	0	0	0
OR10AG1	0	0	0	0	0	0	0	0	0
OR10H2	0	0	0	0	0	0	0	0	0
OR10K2	0	0	0	0	0	0	0	0	0
OR2G3	0	0	0	0	0	0	0	0	0
OR2M4	0	0	0	1	0	0	0	0	0
OR2T27	0	0	0	0	0	0	0	0	0
OR2T4	0	0	0	1	0	0	0	0	0
OR52I2	0	0	0	0	0	0	0	0	0
OR5C1	0	0	0	0	0	0	0	0	0
OR5P2	0	0	0	0	0	1	0	0	0
OSBPL1A	0	0	0	0	0	0	0	0	1
OTOF	0	0	0	1	0	0	0	0	0
OTOP1	0	1	0	0	0	0	0	0	0
PABPC1	0	0	0	0	0	0	0	0	0
PABPC3	0	0	0	0	0	1	0	0	0
PADI6	0	0	0	0	0	1	0	0	0
PAPL	0	0	0	0	1	0	0	0	0
PC	0	0	0	0	0	1	0	0	0
PCDH10	0	0	0	0	0	0	0	0	0
PCDH15	0	0	0	0	0	0	0	0	0
PCDHA10	0	0	0	0	0	0	0	0	0
PCDHA7	0	0	0	0	0	0	0	0	0
PCDHB3	0	0	1	0	0	0	0	0	0
PCDHGA6	0	0	0	1	0	0	0	0	0
PCMTD1	0	0	0	0	0	0	0	0	0
PCSK7	1	0	0	0	0	0	0	0	0
PDE4DIP	0	0	0	0	0	1	0	0	0
PDGFRA	0	0	0	0	1	0	0	0	0
PDGFRB	0	1	0	0	0	0	0	0	0
PEG3	0	0	0	0	0	0	0	1	0
PIEZO2	0	0	0	0	0	1	0	0	0
PIK3CA	0	0	0	0	0	0	0	0	0
PITPNA	0	0	0	1	0	0	0	0	0
PKD1L1	0	0	0	1	0	0	0	0	0
PKHD1	0	0	0	0	0	0	0	1	0
PLA2G4D	0	0	0	0	0	0	0	1	0
PLAC8L1	0	0	0	0	0	0	0	0	0
PLXND1	0	0	0	0	0	0	0	0	0
PMVK	0	0	0	0	0	0	0	0	0
PNMAL1	0	0	1	0	0	0	0	0	0
POLQ	0	0	0	0	0	0	1	0	0
POM121L2	0	0	0	0	0	0	0	0	0
PPAN-P2RY11	0	1	0	0	0	0	0	0	0
PPARG	0	0	0	0	0	0	0	0	0
PPIP5K2	0	0	0	0	0	0	0	0	0
PRB1	0	0	0	0	0	0	0	0	0
PREPL	0	1	0	0	0	0	0	0	0
PRG4	0	0	0	0	0	0	0	0	0
PRLHR	0	0	0	0	0	0	0	1	0
PRRC2A	0	0	0	0	0	0	0	0	0
PRSS3	0	0	0	0	0	0	0	0	0
PRSS46	0	0	0	0	0	0	0	0	0
PRSS53	0	0	0	0	0	0	1	0	0
PSG5	0	0	0	0	0	0	0	0	0
PSPC1	0	0	0	0	0	0	0	0	0
PTK2B	0	0	0	0	0	0	1	0	0
PTPN11	0	0	0	0	0	0	0	0	0
PTPN21	0	0	0	0	0	0	0	0	0
PTPN3	0	0	0	0	0	0	0	0	0
PTX4	0	0	0	0	0	0	0	0	0
PXDNL	0	0	0	1	0	0	0	1	0
QRICH1	0	0	1	0	0	0	0	0	0
RAB1B	0	0	0	0	0	0	0	0	0
RAB3IL1	0	0	0	0	0	0	0	0	0
RAB44	0	0	0	0	0	0	0	0	0
RABGAP1	0	0	0	0	0	0	0	1	0
RAG1	0	0	0	0	0	0	0	0	0
RAG2	0	0	0	0	0	0	0	0	0
RBM46	0	0	0	0	0	0	0	0	0
RDX	0	0	0	0	0	1	0	0	0
RELN	0	0	0	0	0	0	0	1	0
RERGL	0	0	0	0	0	0	0	0	0
REV1	0	0	0	0	0	0	0	0	0
RFPL2	0	0	0	0	0	0	0	1	0
RHPN2	0	0	0	0	0	0	0	0	0
RIMS2	0	0	0	0	0	0	0	0	0
RNF175	0	0	0	1	0	0	0	0	0
RNLS	0	0	0	0	0	0	0	0	0
ROCK2	0	0	0	0	0	0	0	0	0
ROR2	0	0	0	0	0	0	0	0	0
RORC	0	0	0	1	0	0	0	0	0
ROS1	0	0	0	0	1	0	0	0	0
RP1L1	0	0	0	0	0	0	1	0	0
RPE65	0	0	0	0	0	0	0	0	0
RPL19	0	0	0	0	0	0	0	0	1
RPS16	0	0	0	0	0	0	0	0	0
RPS6	0	0	0	0	0	0	0	0	0
RPTN	0	0	1	0	0	0	0	0	0
RRP12	0	0	0	1	0	0	0	0	0
RSBN1	0	0	0	0	0	0	0	0	0
RSG1	0	0	0	0	0	0	0	0	0
RXFP3	0	0	0	1	0	0	0	0	0
RYR2	0	0	0	0	0	0	1	0	0
SACS	0	0	0	0	1	0	0	0	0
SALL1	0	0	0	0	0	0	0	0	0
SCARA5	0	0	0	0	0	0	0	0	0
SCUBE1	0	0	0	0	0	0	0	0	0
SDC3	0	0	0	0	0	0	0	0	0
SEMA3A	0	0	0	0	0	0	0	0	0
SEPT11	0	0	0	0	0	0	0	0	0
SFT2D3	0	0	0	1	0	0	0	0	0
SGSH	0	0	0	0	0	0	0	0	0
SH2D4B	0	0	0	1	0	0	0	0	0
SH3BP4	0	0	0	0	0	0	0	0	0
SH3PXD2A	0	0	0	0	0	0	0	0	0
SHQ1	0	0	0	0	0	0	0	1	0
SIGLEC12	0	0	0	0	0	0	0	0	0
SIRPB1	0	0	0	0	0	0	0	0	0
SKA3	0	0	0	0	0	0	0	0	0
SLC12A3	0	0	0	0	0	0	0	0	0
SLC35G4P	0	0	0	0	0	0	0	0	0
SLC38A7	0	0	0	0	0	0	0	0	0
SLC40A1	0	0	0	0	0	0	0	0	0
SLC44A2	0	0	0	0	0	0	0	0	0
SLC52A3	0	0	0	0	0	0	0	0	0
SLFN11	0	0	0	0	1	0	0	0	0
SLITRK1	0	0	0	0	0	0	0	0	0
SMAD4	0	0	0	0	0	0	0	0	0
SMG6	0	0	0	0	0	0	0	0	0
SMOX	0	0	0	0	1	0	0	0	0
SPAG9	0	0	0	0	0	0	0	1	0
SPATA22	0	0	0	0	0	0	0	0	0
SPATA31E1	1	0	0	0	0	0	0	0	0
SPECC1	0	0	0	0	0	0	0	0	0
SPERT	0	0	0	0	0	0	0	0	0
SPINT2	0	0	0	0	0	0	0	0	0
SPOCD1	0	0	0	0	0	0	0	0	0
SPTA1	0	0	0	0	0	1	0	1	0
STEAP1B	0	0	0	0	0	0	0	0	0
STK24	0	0	0	1	0	0	0	0	0
STOML2	0	0	0	0	0	0	0	0	0
STON2	0	0	0	0	0	0	0	0	0
STX7	0	0	0	0	0	0	0	0	0
SULF1	0	0	0	0	0	0	0	0	0
SUN1	0	0	0	1	0	0	0	0	0
SUN3	0	0	0	0	0	0	0	0	0
SUPT5H	0	0	0	0	0	0	0	0	0
SWI5	0	0	0	0	0	0	0	0	0
SYNE2	0	0	0	0	0	0	0	0	0
SYT14	0	0	0	0	0	1	0	0	0
SZT2	0	0	0	0	0	0	0	1	0
TARP	0	0	0	0	0	0	0	0	1
TAS2R43	0	0	0	0	0	0	0	0	0
TAS2R46	0	0	0	0	0	0	0	0	0
TAS2R50	0	0	0	0	0	0	0	0	0
TBC1D8	0	0	0	1	0	0	0	0	0
TBCE	0	0	0	0	0	0	0	0	0
TCEA2	0	0	0	0	0	0	0	1	0
TCF7L2	0	0	1	0	0	0	0	0	0
TCHH	0	0	0	0	0	0	0	0	0
TEKT1	0	0	0	1	0	0	0	0	0
TERF2IP	0	0	0	0	0	0	0	0	0
THUMPD1	0	0	0	0	0	0	0	0	0
TIAM1	0	0	0	0	0	0	0	1	0
TMEM132C	0	0	0	0	0	0	1	0	0
TMEM140	0	0	0	0	0	0	0	0	0
TOM1	0	0	0	0	0	0	0	0	0
TOPBP1	0	0	0	0	0	0	0	0	0
TP53	0	0	0	0	0	0	0	0	0
TRIM17	0	0	1	0	0	0	0	0	0
TRIM29	0	0	0	0	0	0	0	0	0
TRPC3	0	0	0	0	0	0	0	0	0
TRPS1	0	0	0	0	0	0	0	1	0
TSC2	0	0	0	0	1	0	0	0	0
TTC7B	0	0	0	0	0	0	0	0	0
TTLL5	0	0	0	0	0	0	0	1	0
TTN	0	0	0	1	1	0	0	0	0
TULP4	0	0	0	0	1	0	0	0	0
TUSC3	0	0	0	0	0	0	0	0	0
TUSC5	0	0	0	0	0	0	0	0	0
TXNDC2	0	0	0	0	0	0	0	0	0
UBA6	0	0	1	0	0	0	0	0	0
UBAP2L	0	1	0	0	0	0	0	0	0
UBE2U	0	0	0	0	0	0	0	0	0
UBR1	0	0	0	0	0	0	0	0	0
UBR4	0	0	0	0	1	0	0	0	0
UNC5A	0	0	1	0	0	0	0	0	0
UNC5B	0	0	0	0	0	0	0	0	0
UNC5C	0	0	0	0	0	0	0	0	0
UNK	0	0	0	1	0	0	0	0	0
USH2A	0	0	0	0	0	0	1	0	0
USP31	0	0	0	0	0	0	0	0	0
USP40	0	0	0	0	0	1	0	0	0
VAV1	0	0	0	0	0	0	0	0	0
VPS13A	0	0	0	0	0	0	0	0	0
VPS18	0	0	0	0	0	0	0	0	0
VPS35	0	0	0	0	0	0	0	1	0
VWA5B1	0	0	0	0	0	0	0	0	0
VWA8	0	0	0	0	0	0	0	0	0
WDR17	1	0	0	0	0	0	0	0	0
WDR89	0	0	0	0	0	0	0	0	0
WDR96	0	0	0	0	0	0	0	1	0
WSCD1	0	0	0	1	0	0	0	0	0
WWC1	0	0	0	0	0	0	0	0	0
WWTR1	0	0	0	0	0	0	0	0	0
ZFHX4	0	0	0	0	0	0	0	0	0
ZNF121	0	0	0	0	0	0	0	0	0
ZNF132	0	0	1	0	0	0	0	0	0
ZNF222	0	0	0	0	0	0	0	0	0
ZNF280A	0	0	0	0	0	0	0	0	0
ZNF33B	0	0	0	0	0	0	0	0	0
ZNF341	0	0	0	0	0	0	0	0	0
ZNF425	0	0	0	1	0	0	0	0	0
ZNF429	0	0	0	0	0	0	0	0	0
ZNF627	0	0	0	0	0	0	0	0	0
ZNF675	0	0	0	0	0	1	0	0	0
ZNF714	0	0	0	0	0	0	0	0	0
ZNF777	0	0	0	0	0	0	0	0	0
ZNF827	0	0	0	1	0	0	0	0	0
ZNF835	0	0	0	0	0	0	0	0	0
ZNF843	0	0	0	0	1	0	0	0	0
ZNF85	0	0	0	0	0	0	0	0	0
ZNF880	0	0	0	0	0	0	0	0	0
ZNF90	0	0	0	0	0	0	0	0	0
ZNF92	0	0	0	0	0	0	0	0	0
CCNE1_gain	0	0	0	0	0	0	0	0	1
CDKN2A_loss	0	0	1	0	0	0	0	0	0
CDKN2B_loss	0	0	1	0	0	0	0	0	0
EGFR_gain	0	0	0	0	1	0	0	1	0
ERBB2_gain	0	0	0	0	0	0	0	0	1
FGFR3_gain	0	0	0	0	0	0	0	0	0
MDM2_gain	0	0	1	0	0	0	0	0	0
BAP1_loss	0	0	0	0	0	0	0	0	0
CDKN1B_loss	0	0	0	0	0	0	0	1	0
IGF1R_gain	0	0	0	0	0	0	0	0	0
PTEN_loss	0	0	0	0	0	0	0	0	0
AURKA_gain	0	1	0	1	1	1	0	0	1
CCND2_gain	0	0	1	0	0	0	0	0	0
CCND3_gain	0	0	0	0	0	0	0	0	0
CDK4_gain	0	0	1	0	0	0	0	0	0
CDK6_gain	0	0	0	0	1	0	0	1	0
MDM4_gain	0	0	0	0	0	0	0	0	0
MET_gain	0	0	0	0	1	0	0	1	0
FGFR1_gain	0	0	0	0	0	0	0	1	0
