	Set.01	Set.02	Set.03	Set.04	Set.05	Set.06	Set.07	Set.08	Set.09.Distal	Set.09.Proximal	Set.10
ANO1	0	0	0	1	0	0	0	0	0	0	0
ANO2	0	0	0	0	0	0	0	0	0	0	0
ANO5	0	0	0	0	0	0	0	0	0	0	0
ANO7	0	0	0	1	0	0	0	0	0	0	0
ANTXR1	0	0	0	1	0	0	0	0	0	0	0
ANTXRL	0	1	0	0	0	0	0	0	0	0	0
ANXA6	0	0	0	0	0	0	0	0	0	0	0
AOC3	0	0	0	1	0	0	0	0	0	0	0
AP1G2	0	0	0	0	0	0	0	0	0	0	0
AP1S1	0	0	0	1	0	0	0	0	0	0	0
AP2A2	0	0	0	0	0	0	0	0	0	0	0
AP3B2	0	0	0	0	0	0	0	0	0	0	0
AP3D1	0	0	0	0	0	0	0	0	0	0	0
AP3S1	0	0	0	0	0	0	0	0	0	0	1
AP5Z1	0	0	0	1	0	0	0	0	0	0	0
APBA1	0	0	0	1	0	0	0	0	0	0	0
APBA2	0	0	0	1	0	0	0	0	0	0	0
APBA3	0	1	0	1	0	0	0	0	0	0	0
APC	1	1	1	0	1	1	1	0	0	0	0
APC2	0	0	0	0	0	0	0	0	0	0	0
APOA1BP	0	0	0	0	1	0	0	0	0	0	0
APOB	0	1	0	1	0	0	0	1	0	0	1
APOBEC1	1	0	0	0	0	0	0	0	0	0	0
APOBEC3G	0	0	0	0	0	0	0	0	1	0	0
APOBR	0	0	1	0	0	0	0	0	0	0	0
ARAP1	0	0	0	0	0	0	0	0	0	0	0
ARFGAP1	0	0	0	1	0	0	0	0	0	0	0
ARFGEF1	0	0	0	0	0	0	0	0	0	0	0
ARHGAP20	0	0	0	1	0	0	0	0	1	0	0
ARHGAP26	0	0	0	1	0	0	0	0	0	0	0
ARHGAP32	0	0	0	0	0	0	0	0	0	0	0
ARHGAP33	0	0	0	0	0	0	0	0	0	0	1
ARHGEF10L	0	0	0	0	0	0	0	0	0	0	0
ARHGEF11	0	0	0	1	0	0	0	0	0	0	1
ARHGEF17	0	0	0	1	0	0	0	0	0	0	0
ARHGEF18	0	1	0	0	0	0	0	0	0	0	0
ARHGEF26	0	0	0	0	0	0	0	0	0	0	0
ARHGEF28	0	0	0	0	0	0	0	0	0	0	1
ARHGEF7	0	0	0	1	0	0	0	0	0	0	0
ARID1A	0	1	0	0	0	1	0	0	0	0	0
ARID2	0	0	0	0	1	0	0	0	0	0	0
ARID3A	0	0	0	0	0	0	0	0	0	0	0
ARL6IP4	0	0	0	1	0	0	0	0	0	0	0
ARL8A	0	0	0	0	1	0	0	0	0	0	0
ARMC2	0	0	1	0	0	0	0	0	0	0	0
ARMC4	0	0	0	0	0	0	0	0	0	0	0
ARMC5	0	0	0	1	0	0	0	0	0	0	0
ARNTL	0	1	0	0	0	0	0	0	0	0	0
ARPC1A	1	0	0	0	0	0	0	0	0	0	0
ARPC5L	0	0	0	0	0	0	1	0	0	0	0
ARPP21	1	0	0	0	0	0	0	0	0	0	0
ARRDC4	0	0	0	0	0	0	0	0	0	0	0
ARSJ	0	0	0	0	0	0	0	0	0	0	0
ASB15	0	0	0	0	0	0	0	1	0	0	0
ASB2	0	0	1	0	0	0	0	0	0	0	0
ASB4	0	0	0	0	0	0	0	0	0	0	0
ASH1L	0	0	0	0	0	0	0	0	0	0	0
ASIC5	0	0	1	0	0	0	0	0	0	0	0
ASPH	0	0	0	0	0	0	0	0	0	0	0
ASPN	0	0	0	1	0	0	0	0	0	0	0
ASXL3	0	0	0	0	0	0	0	0	0	0	0
ASZ1	0	0	0	1	0	0	0	0	0	0	0
ATAD5	0	0	0	1	0	0	0	0	0	0	0
ATE1	0	0	0	0	0	1	0	0	0	0	0
ATF7IP2	0	0	0	0	0	0	0	0	0	0	0
ATG4D	0	0	0	0	0	0	0	0	0	0	1
ATG7	0	0	0	0	0	0	0	0	0	0	0
ATM	0	0	0	1	0	0	0	0	0	0	0
ATN1	0	1	0	0	0	0	0	0	0	0	0
ATP1A2	0	0	0	0	0	0	0	0	1	0	0
ATP1A3	0	0	0	0	0	0	1	0	0	0	0
ATP2B2	0	0	0	0	0	0	0	0	0	0	0
ATP2C2	0	0	0	1	0	0	0	0	0	0	0
ATP4A	0	0	0	0	0	0	0	0	0	0	0
ATP6V0B	0	1	0	0	0	0	0	0	0	0	0
ATP6V1D	0	0	0	1	0	0	0	0	0	0	0
ATP8A2	0	0	0	0	1	0	0	0	0	0	0
ATP8B2	0	0	0	1	0	0	0	0	1	0	0
ATXN1	0	1	0	0	0	0	0	0	0	0	0
ATXN7L3	0	0	0	1	0	0	0	0	0	0	0
AVL9	0	0	0	0	0	0	0	0	0	0	0
AXDND1	0	0	0	1	0	0	0	0	0	0	0
AXIN2	0	0	0	1	0	0	0	0	0	0	0
AXL	0	0	0	0	0	0	0	0	0	0	0
B3GNT5	0	0	0	0	0	0	0	0	0	0	0
B3GNT8	0	0	0	1	0	0	0	0	0	0	0
BACH2	0	0	0	1	0	0	0	0	0	0	0
BAZ2A	0	0	0	1	0	0	0	0	0	0	0
BAZ2B	0	0	0	1	0	0	0	0	0	0	1
BBS10	0	0	0	0	0	0	0	0	0	0	0
BBS2	0	0	0	1	0	0	0	0	0	0	0
BBS5	0	0	0	0	0	0	0	0	0	0	0
BCAN	0	0	0	0	0	0	0	0	0	0	0
BCAS3	0	0	0	0	0	0	0	0	0	0	1
BCR	0	0	0	0	0	0	0	0	0	0	0
BCS1L	0	0	0	0	0	0	0	0	0	0	0
BFSP2	0	0	0	0	0	0	0	0	0	0	0
BICC1	0	0	0	0	0	0	0	0	0	0	0
BIRC3	0	0	0	1	0	0	0	0	0	0	0
BIRC6	0	0	0	0	0	0	0	0	0	0	0
BIRC7	0	0	0	0	0	1	0	0	0	0	0
BLOC1S3	0	0	1	0	0	0	0	0	0	0	0
BMP1	0	0	0	0	0	0	0	0	0	0	0
BMP2K	0	0	0	0	0	0	0	0	0	0	0
BMP8A	0	0	0	0	0	0	0	0	0	0	0
BNC2	0	0	0	1	0	0	0	0	0	0	0
BNIPL	0	0	0	0	0	0	0	0	0	0	0
BOC	0	0	0	1	0	0	0	0	0	0	1
BOD1L1	0	0	0	0	0	0	1	0	0	0	0
BPIFB2	0	0	0	0	0	0	0	0	1	0	0
BRAF	0	1	0	1	0	0	0	0	0	0	0
BRCA2	0	0	0	1	0	1	0	0	0	0	0
BRINP1	0	0	0	0	0	0	0	0	0	0	0
BRINP3	0	0	0	1	0	0	0	0	0	0	0
BRSK2	0	0	1	0	0	0	0	0	0	0	0
BSDC1	0	0	0	1	0	0	0	0	0	0	0
BSPH1	0	0	0	0	0	0	0	0	0	0	0
BTBD11	0	0	0	1	0	0	0	0	0	0	0
BTBD16	0	0	0	0	0	0	0	0	0	0	0
C10orf120	0	0	0	0	0	0	0	0	0	0	0
C10orf2	0	0	0	0	0	0	0	0	0	0	0
C10orf71	0	0	1	0	0	0	0	0	0	0	0
C10orf76	0	0	0	0	0	0	0	0	0	0	0
C10orf82	0	0	0	0	0	0	0	0	0	0	0
C12orf42	0	0	0	0	0	0	0	0	0	0	0
C12orf80	0	0	0	1	0	0	0	0	0	0	0
C14orf159	0	0	0	0	0	0	0	0	0	0	0
C14orf37	0	0	0	0	0	0	0	0	0	0	1
C15orf39	0	0	0	1	0	0	0	0	0	0	0
C15orf53	0	0	0	0	0	0	0	0	0	0	0
C17orf70	0	0	0	0	0	0	0	0	0	0	0
C18orf42	0	0	0	0	0	0	0	0	0	0	0
C19orf38	0	0	0	0	0	0	0	0	0	0	0
C19orf44	0	0	0	1	0	0	0	0	0	0	0
C19orf57	0	0	0	0	0	0	0	0	0	0	0
C1orf109	0	0	0	0	0	0	0	0	0	0	0
C1orf131	0	0	0	1	0	0	0	0	0	0	0
C1orf158	0	0	0	0	0	0	0	0	1	0	0
C1orf85	0	0	0	1	0	0	0	0	0	0	0
C1QTNF7	0	0	0	0	0	0	0	0	0	0	0
C2	0	0	0	1	0	0	0	0	0	0	0
C20orf194	0	0	1	0	0	0	0	0	0	0	0
C2CD2L	0	0	0	0	0	0	0	0	0	0	0
C2orf43	0	0	0	0	0	0	0	0	0	0	0
C2orf78	0	0	0	0	0	0	0	0	0	0	0
C5orf42	0	0	0	0	0	0	0	0	1	0	0
C7orf31	0	0	0	1	0	0	0	0	0	0	0
C7orf72	0	0	0	1	0	0	0	0	0	0	0
C8A	0	0	0	0	0	0	0	0	0	0	0
C9orf172	0	0	0	0	0	0	0	0	0	0	0
C9orf3	0	0	0	1	0	0	0	0	0	0	0
CA2	0	0	0	1	0	0	0	0	0	0	0
CA6	0	0	0	0	0	0	0	0	1	0	0
CAB39L	0	0	0	0	0	0	0	0	0	0	0
CABLES1	0	0	0	0	0	0	0	0	0	0	1
CABP2	0	0	0	1	0	0	0	0	0	0	0
CACNA1B	0	0	0	0	0	0	0	0	0	0	0
CACNA1C	0	0	0	0	0	0	0	0	0	0	1
CACNA1E	0	0	0	0	0	0	0	0	1	0	0
CACNA1G	0	0	0	1	0	0	0	0	0	0	0
CACNA1I	0	0	0	0	0	0	0	0	0	0	1
CACNA1S	0	0	0	1	0	0	0	0	0	0	0
CACNA2D1	0	0	0	0	0	0	0	0	0	0	0
CACNG5	0	0	1	0	0	0	0	0	0	0	0
CACNG7	0	0	0	0	0	0	0	0	0	0	0
CAD	0	0	0	0	0	0	0	0	0	0	0
CADPS2	0	0	0	0	0	0	0	0	0	0	0
CAGE1	0	0	0	1	0	0	0	0	0	0	0
CALB1	0	0	0	0	0	0	0	0	0	0	0
CALN1	0	0	0	0	0	0	0	0	0	0	0
CAMK1	0	0	0	1	0	0	0	0	0	0	0
CAMK1G	0	0	0	0	0	0	0	0	0	0	0
CAMK2D	0	0	0	0	0	0	0	0	1	0	0
CAPN2	0	0	0	0	0	0	0	0	0	0	0
CAPN9	0	0	0	0	0	1	0	0	0	0	0
CAPSL	0	0	0	1	0	0	0	0	0	0	0
CARD16	0	0	1	0	0	0	0	0	0	0	0
CARS	0	0	0	1	0	0	0	0	0	0	0
CASD1	0	0	0	1	0	0	0	0	0	0	0
CASR	1	0	0	0	0	0	0	0	0	0	0
CASZ1	0	0	1	0	0	0	0	0	0	0	0
CBLB	0	0	0	1	0	0	0	0	0	0	0
CBR3	0	0	0	1	0	0	0	0	0	0	0
CCDC105	0	0	0	0	0	0	0	0	0	0	0
CCDC108	0	0	0	1	0	0	0	0	0	0	0
CCDC110	0	0	0	0	0	0	0	0	1	0	0
CCDC142	0	0	1	0	0	0	0	0	0	0	0
CCDC154	0	0	0	0	0	0	0	0	0	0	0
CCDC158	0	0	0	0	0	0	0	0	0	0	0
CCDC168	0	0	0	1	0	0	0	0	0	0	1
CCDC180	0	0	0	0	0	0	0	0	0	0	0
CCDC19	0	0	0	0	0	0	0	0	0	0	0
CCDC38	0	0	0	0	1	0	0	0	0	0	0
CCDC39	0	0	0	1	0	0	0	0	0	0	0
CCDC8	0	0	1	0	0	0	0	0	0	0	0
CCDC85A	1	0	1	0	0	0	0	0	0	0	0
CCDC88A	0	0	0	0	0	0	0	0	0	0	0
CCDC88C	0	0	0	1	0	0	0	0	0	0	0
CCL5	0	0	0	1	0	0	0	0	0	0	0
CCNG1	0	0	0	0	0	0	0	0	0	0	0
CCR3	0	0	0	0	0	0	0	0	0	0	0
CCR7	0	0	0	0	0	0	0	0	1	0	0
CCSER1	0	0	0	1	0	0	0	0	0	0	0
CD1A	0	0	0	0	0	0	0	0	1	0	0
CD1D	0	0	0	1	0	0	0	0	0	0	0
CD1E	0	1	0	0	0	0	0	0	0	0	0
CD226	0	0	0	0	0	0	0	0	0	0	0
CD247	0	0	0	0	0	0	0	0	0	0	0
CD3G	0	0	0	0	0	0	0	0	0	0	0
CD44	0	0	0	1	0	0	0	0	0	0	0
CD63	0	0	0	0	0	0	0	0	0	0	0
CDC20B	0	0	0	0	0	0	0	0	0	0	0
CDC25A	0	1	0	0	0	0	0	0	0	0	0
CDCA2	0	0	0	0	0	0	0	0	0	0	0
CDH18	0	0	0	0	0	0	0	0	0	0	0
CDH19	0	0	0	1	0	0	0	0	0	0	0
CDH2	0	0	0	0	0	0	0	0	0	0	1
CDH23	0	0	1	0	0	0	0	0	1	0	0
CDH3	0	0	0	1	0	0	0	0	0	0	0
CDH4	0	0	0	1	0	0	0	0	0	0	0
CDH8	0	0	0	1	0	0	0	0	0	0	0
CDH9	0	0	0	1	0	0	0	0	0	0	0
CDK14	0	0	1	0	0	0	0	0	0	0	0
CDKN1C	0	0	0	0	0	0	0	0	0	0	0
CDON	0	0	0	0	0	0	0	0	1	0	0
CDRT1	0	0	0	0	0	0	0	0	0	0	0
CDRT15L2	0	0	0	0	0	0	0	0	0	0	0
CEACAM5	0	0	0	0	0	0	0	0	0	0	0
CEBPG	0	0	0	0	0	0	0	0	0	0	0
CECR1	0	0	0	1	0	0	0	0	0	0	0
CECR2	0	0	0	0	0	0	0	0	0	0	0
CELA1	0	0	0	0	0	0	0	0	0	0	1
CELA3A	0	0	0	0	0	0	0	0	0	0	0
CELF5	0	0	0	0	0	0	1	0	0	0	0
CELSR1	1	0	0	1	0	0	0	0	0	0	0
CELSR3	0	0	0	0	0	0	0	0	0	0	0
CEMIP	0	0	0	0	0	0	0	0	0	0	0
CENPO	0	0	0	1	0	0	0	0	0	0	0
CENPT	0	0	0	1	0	0	0	0	0	0	0
CEP162	0	0	0	1	0	0	0	0	0	0	0
CEP170	0	0	0	1	0	0	0	0	0	0	0
CEP170B	0	0	0	0	1	0	0	0	0	0	0
CEP350	0	0	1	1	0	0	0	0	0	0	0
CERKL	0	0	0	1	0	0	0	0	0	0	0
CES1	0	0	0	0	0	0	0	0	0	0	0
CFH	0	1	0	0	0	0	0	0	0	0	0
CGNL1	0	0	0	1	0	0	0	0	0	0	0
CH25H	0	0	0	0	0	0	0	0	0	0	0
CHCHD3	0	0	0	0	0	0	0	1	0	0	0
CHD2	0	0	0	0	0	0	0	0	0	0	0
CHD4	0	0	0	0	0	1	0	0	0	0	0
CHD5	0	0	0	0	0	0	0	0	0	0	0
CHD7	0	0	0	1	0	0	0	0	0	0	0
CHD8	0	0	0	1	0	0	0	0	0	0	0
CHERP	0	0	0	0	0	0	0	0	0	0	0
CHMP2A	0	0	0	0	0	0	0	0	0	0	0
CHN1	0	0	0	0	0	0	1	0	0	0	0
CHRM1	0	0	0	1	0	0	0	0	0	0	0
CHRNB1	0	0	0	0	0	0	0	0	0	0	0
CHRNB2	0	0	0	0	1	0	0	0	0	0	0
CHRND	0	0	0	1	0	0	0	0	0	0	0
CHST15	0	0	0	0	0	0	0	0	0	0	0
CHST9	0	0	0	0	0	0	0	0	0	0	0
CHSY3	0	0	1	0	1	0	0	0	0	0	0
CHTF18	0	0	0	1	0	0	0	0	0	0	0
CILP	0	0	0	0	0	0	0	0	1	0	0
CILP2	0	0	0	1	0	0	0	0	0	0	0
CKM	0	0	0	0	0	0	0	0	0	0	0
CKMT1B	0	0	0	0	0	0	1	0	0	0	0
CLDN18	0	0	0	0	0	0	0	0	0	0	0
CLEC14A	0	0	0	0	1	0	0	0	0	0	0
CLEC4M	0	1	0	0	0	0	0	0	0	0	0
CLIC1	0	0	0	0	0	0	0	0	0	0	0
CLIC6	0	0	1	0	0	0	0	0	0	0	0
CLIP3	0	0	0	1	0	0	0	0	0	0	0
CLK2	0	0	0	0	0	0	0	0	0	0	0
CLMN	0	0	1	0	0	0	0	0	0	0	0
CLN8	0	0	0	0	0	0	0	0	0	0	1
CLUH	0	0	0	1	0	0	0	0	0	0	0
CLVS2	0	0	0	0	0	0	0	0	0	0	0
CMTM1	0	0	0	0	0	0	0	0	0	0	0
CMTR1	0	0	0	0	0	0	0	0	0	0	0
CMYA5	0	0	0	1	0	1	0	0	0	0	0
CNDP1	0	0	0	0	0	0	0	1	0	0	0
CNNM4	0	0	0	0	0	0	0	1	0	0	0
CNOT1	0	0	0	0	0	0	0	0	0	0	0
CNOT3	0	0	0	0	0	0	0	0	0	0	0
CNTLN	0	0	0	0	0	0	0	0	0	0	0
CNTN3	0	0	0	0	0	0	0	0	0	0	0
CNTN4	0	0	0	0	0	0	0	0	0	0	0
CNTN5	0	0	0	0	0	0	1	0	0	0	0
CNTN6	0	0	0	1	0	0	0	0	0	0	0
CNTNAP2	0	0	0	0	0	0	0	0	0	0	0
CNTNAP3	0	0	0	0	0	0	0	0	0	0	0
CNTNAP4	0	0	1	0	0	0	0	0	0	0	0
CNTROB	0	0	0	0	0	0	0	0	0	0	0
COBLL1	0	0	0	0	0	0	0	0	0	0	0
COL11A1	0	0	0	1	0	0	0	0	0	0	0
COL12A1	0	0	0	0	0	0	0	0	0	0	0
COL13A1	0	0	0	0	1	0	0	0	0	0	0
COL15A1	0	0	0	0	0	0	0	0	0	0	0
COL17A1	0	0	0	1	0	0	0	0	0	0	0
COL18A1	0	1	0	1	0	0	0	0	0	0	0
COL24A1	0	0	0	0	0	0	0	0	1	0	0
COL4A1	0	0	0	0	0	0	1	0	0	0	0
COL4A3	0	0	0	0	0	0	0	0	0	0	0
COL5A1	0	0	0	1	0	0	0	0	0	0	0
COL5A2	0	0	1	0	0	0	0	0	0	0	0
COL6A2	0	0	0	1	0	0	0	0	0	0	0
COL6A3	1	0	0	0	0	0	0	0	0	0	0
COL6A5	0	0	0	0	0	0	0	0	0	0	0
COL7A1	0	1	0	0	0	0	0	0	0	0	0
COLEC10	0	0	0	0	0	0	0	0	0	0	0
COLEC12	0	0	0	0	0	0	0	0	0	0	0
COPB2	0	0	0	0	0	0	0	0	1	0	0
COPS5	0	0	0	1	0	0	0	0	0	0	0
COPS7B	0	0	1	0	0	0	0	0	0	0	0
CPA4	0	0	0	1	0	0	0	0	0	0	0
CPA5	0	0	0	0	0	0	0	0	0	0	0
CPAMD8	0	0	1	0	0	0	0	0	0	0	0
CPEB1	0	0	0	0	0	0	0	0	0	0	1
CPNE1	0	0	1	0	0	0	0	0	0	0	0
CPNE2	0	0	0	1	0	0	0	0	0	0	0
CPO	0	0	0	0	0	0	0	0	0	0	1
CPS1	0	0	0	0	0	0	0	0	0	0	1
CR1	0	0	0	1	0	0	0	0	0	0	0
CR2	0	0	0	0	0	0	0	0	0	0	0
CRB1	0	1	0	1	0	0	0	0	0	0	0
CREG1	0	1	0	0	0	0	0	0	0	0	0
CRLF3	0	0	0	0	0	0	0	0	0	0	0
CRMP1	0	0	0	0	1	0	0	0	0	0	0
CROCC	0	0	0	0	0	0	1	0	0	0	0
CRYBG3	0	0	0	0	0	0	0	0	0	0	0
CSMD1	0	1	0	0	1	0	1	1	0	0	0
CSMD2	0	0	0	0	0	0	0	0	0	0	0
CSMD3	0	1	0	0	1	0	0	0	0	0	0
CSPG4	0	0	0	1	0	0	0	0	0	0	0
CSTF3	0	0	0	1	0	0	0	0	0	0	0
CTDP1	0	1	0	0	0	0	0	0	0	0	0
CTGF	0	0	0	1	0	0	0	0	0	0	0
CTNNA2	0	0	0	0	0	0	0	0	0	0	0
CTNND2	0	1	1	0	0	0	0	0	0	0	0
CTR9	0	0	0	1	0	0	0	0	0	0	0
CTSS	0	0	0	1	0	0	0	0	0	0	0
CTSV	0	0	0	0	0	0	0	0	0	0	0
CTTNBP2	0	0	0	1	0	0	0	0	0	0	0
CUBN	0	0	0	1	1	0	0	0	0	0	0
CUL1	0	0	0	0	0	0	0	0	0	0	0
CUL4A	0	0	0	1	0	0	0	0	0	0	0
CUX1	1	0	0	0	0	0	0	0	0	0	0
CUZD1	0	0	0	0	0	0	0	0	0	0	0
CWF19L2	0	0	0	1	0	0	0	0	0	0	0
CXXC1	0	0	0	1	0	0	0	0	0	0	0
CYP11B1	0	0	0	1	0	0	0	0	0	0	0
CYP19A1	0	0	0	0	0	0	0	0	0	0	0
CYP1B1	0	0	0	1	0	0	0	0	0	0	0
CYP24A1	0	0	0	0	0	0	0	0	0	0	0
CYP26C1	0	0	0	0	0	0	0	0	0	0	0
CYP2C8	0	0	0	0	0	0	0	0	0	0	0
CYP4F2	0	0	0	0	0	0	0	0	0	0	0
CYP4X1	0	0	0	1	0	0	0	0	0	0	0
CYSLTR2	0	0	0	0	0	0	0	0	0	0	0
CYTL1	0	0	0	0	1	0	0	0	0	0	0
D2HGDH	0	0	0	0	0	0	0	0	0	0	0
DAAM1	0	0	0	0	0	0	0	0	0	0	0
DAB2IP	0	0	0	1	0	0	0	0	0	0	0
DACT1	0	0	0	1	0	0	0	0	0	0	0
DACT3	0	0	0	1	0	0	0	0	0	0	0
DAPK1	0	0	0	0	0	0	0	0	0	0	0
DBNDD2	0	0	0	0	0	0	0	0	0	0	0
DCAF15	0	0	0	0	0	0	0	0	0	0	0
DCAF5	0	0	0	1	0	0	0	0	0	0	0
DCC	1	0	0	0	0	0	0	0	0	0	0
DCDC2	0	0	0	0	0	0	0	0	0	0	0
DCHS1	0	0	0	0	0	0	0	0	0	0	0
DCHS2	0	0	0	0	0	0	0	0	0	0	0
DCLRE1B	0	0	0	0	0	0	0	0	0	0	0
DCT	0	0	1	0	0	0	0	0	0	0	0
DDR2	0	0	0	0	0	0	0	0	0	0	1
DDX1	0	0	0	1	0	0	0	0	0	0	0
DDX42	0	0	0	1	0	0	0	0	0	0	0
DDX54	0	0	0	0	0	0	0	0	0	0	0
DDX60L	0	0	0	0	0	0	0	0	0	0	0
DEDD2	0	0	0	0	0	0	0	0	0	0	0
DEFA4	0	0	0	1	0	0	0	0	0	0	0
DENND1A	0	0	0	0	0	0	0	0	0	0	0
DENND3	0	0	0	1	0	0	0	0	0	0	0
DFNB31	0	0	0	1	0	0	0	0	0	0	0
DGCR8	0	0	0	0	0	0	0	0	0	0	0
DGKE	0	0	0	0	0	0	0	0	0	0	0
DHH	0	0	0	0	0	0	0	0	0	0	0
